Designator,Mid X,Mid Y,Rotation,Layer
C1,1.2,2.5,90.0,top
C2,12.8,6.1,0.0,top
C3,12.8,4.7,0.0,top
D1,4.0,2.8,0.0,top
IC1,16.5,4.1,0.0,top
J1,4.0,4.0,90.0,top
J2,15.0,4.0,90.0,top
R1,1.2,5.5,270.0,top
R2,7.2,5.5,270.0,top
R3,6.2,2.5,90.0,top
R4,7.3,2.5,90.0,top
R5,12.8,2.5,0.0,top
R6,17.3,1.3,0.0,top
R7,12.8,3.6,0.0,top
R8,15.3,1.3,0.0,top
SW1,4.0,5.5,180.0,top
